"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","1.0uF 100V","~","S222M-2n2F-cer-disk:1.0uF_160V_CAPPRD200W50D525H1250","1",""
"C2","0.1uF 50V","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1",""
"C3","470uF 25v","","S222M-2n2F-cer-disk:WCAP-ATUL_10X16_DXL_470uF-25v","1",""
"C4","100pF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","1",""
"C5","0.1uF","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1",""
"C6","0.01uF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","1",""
"C7","1.0uF 350v","","S222M-2n2F-cer-disk:WCAP-ATET_8X11.5_DXL_","1",""
"C8","2200pF","S222M29Z5UN6UJ5R","CAP_S-SERIES_N-29-J_VIS","1",""
"CR1","MUR160G","","S222M-2n2F-cer-disk:MUR160G","1",""
"D1","1N5819","http://www.vishay.com/docs/88525/1n5817.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"F1","30V 500mA","~","HVPS-555:AHRF050_30v_500mA_polyfuse","1",""
"H1,H2,H3,H4","MountingHole","~","MountingHole:MountingHole_3mm","4",""
"HS1","Heatsink","~","S222M-2n2F-cer-disk:AVVID-577202B-00000G","1",""
"J1","Barrel_Jack_Switch","~","S222M-2n2F-cer-disk:BarrelJack_Horizontal","1",""
"J2","Conn_3_screw","OSTVN03A150","CONN3_OSTVN03A150_OST","1",""
"L1","100uH 900mA","744772101","IND_8095-WE-TI_8p3x10x5_WRE","1",""
"Q1","2N2222","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_THT:TO-92_Inline","1",""
"Q2","IRF730-TO-220-3","https://media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/BUZ11.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"R1","56k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R2","1M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R3","220k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R4","1K Trim","","S222M-2n2F-cer-disk:10k_Trimmer_PV36W103C01B00","1",""
"R5","470","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R6","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R7","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"U1","LM7805_TO220","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U2","LM555xN","http://www.ti.com/lit/ds/symlink/lm555.pdf","Package_DIP:DIP-8_W7.62mm","1",""
